Dataset,Panel,Sampling seed,Original features,Alternative features,Accuracy,Macro-F1,Positive F1,Delta Macro-F1 vs original,Feature ids
SMS Spam,1,2026,11,9,0.9760,0.9469,0.9077,+0.0096,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_discount_or_rate; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:requests_immediate_action; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c35
SMS Spam,46,2026,11,9,0.9790,0.9525,0.9170,+0.0152,original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_free_offer; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:creates_urgency; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:normal_personal_conversation; original:refers_previous_conversation; alternative:sms_alt_c02; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c17; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c30; alternative:sms_alt_c35
SMS Spam,47,2026,9,11,0.9800,0.9546,0.9206,+0.0173,original:claims_winner_or_selected; original:uses_promotional_or_marketing_claim; original:mentions_financial_gain_or_cost; original:asks_click_link; original:asks_user_reply_or_call; original:requests_immediate_action; original:normal_personal_conversation; original:mentions_meeting_family_friends; original:refers_previous_conversation; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c36
SMS Spam,48,2026,12,8,0.9720,0.9385,0.8931,+0.0012,original:claims_winner_or_selected; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_free_offer; original:mentions_discount_or_rate; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_click_link; original:requests_personal_information; original:requests_immediate_action; original:mentions_meeting_family_friends; original:refers_previous_conversation; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c11; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c29; alternative:sms_alt_c33
SMS Spam,49,2026,11,9,0.9540,0.9062,0.8392,-0.0312,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:mentions_money_payment; original:mentions_discount_or_rate; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_click_link; original:requests_personal_information; original:mentions_meeting_family_friends; original:refers_previous_conversation; alternative:sms_alt_c04; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c17; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c33; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,50,2026,8,12,0.9800,0.9552,0.9219,+0.0179,original:claims_winner_or_selected; original:uses_promotional_or_marketing_claim; original:mentions_discount_or_rate; original:threatens_loss_or_penalty; original:requests_personal_information; original:requests_immediate_action; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c35
SMS Spam,51,2026,9,11,0.9810,0.9581,0.9272,+0.0208,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:mentions_money_payment; original:mentions_financial_gain_or_cost; original:creates_urgency; original:threatens_loss_or_penalty; original:asks_user_reply_or_call; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c04; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c34
SMS Spam,52,2026,15,5,0.9720,0.9393,0.8947,+0.0020,original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_free_offer; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:creates_urgency; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_user_reply_or_call; original:requests_personal_information; original:requests_immediate_action; original:normal_personal_conversation; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c03; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c11
SMS Spam,53,2026,11,9,0.9750,0.9446,0.9035,+0.0072,original:mentions_prize_reward_gift; original:mentions_money_payment; original:mentions_discount_or_rate; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_click_link; original:asks_user_reply_or_call; original:normal_personal_conversation; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c09; alternative:sms_alt_c17; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c34
SMS Spam,54,2026,9,11,0.9760,0.9473,0.9084,+0.0100,original:claims_winner_or_selected; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_user_reply_or_call; original:mentions_meeting_family_friends; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,55,2026,10,10,0.9800,0.9558,0.9231,+0.0185,original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:uses_deadline_or_expiry; original:asks_click_link; original:asks_user_reply_or_call; original:requests_immediate_action; original:normal_personal_conversation; original:uses_casual_emotional_language; alternative:sms_alt_c01; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c35
SMS Spam,56,2026,11,9,0.9770,0.9493,0.9119,+0.0120,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_free_offer; original:mentions_discount_or_rate; original:creates_urgency; original:threatens_loss_or_penalty; original:requests_immediate_action; original:normal_personal_conversation; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c04; alternative:sms_alt_c12; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c36
SMS Spam,57,2026,10,10,0.9760,0.9476,0.9091,+0.0103,original:claims_winner_or_selected; original:impersonates_official_entity; original:mentions_money_payment; original:mentions_financial_gain_or_cost; original:creates_urgency; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:normal_personal_conversation; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c03; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c12; alternative:sms_alt_c19; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,58,2026,10,10,0.9800,0.9543,0.9200,+0.0170,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:impersonates_official_entity; original:mentions_money_payment; original:uses_deadline_or_expiry; original:contains_all_caps_or_exclamation_emphasis; original:requests_personal_information; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c35
SMS Spam,59,2026,9,11,0.9780,0.9504,0.9134,+0.0131,original:mentions_prize_reward_gift; original:uses_promotional_or_marketing_claim; original:creates_urgency; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_user_reply_or_call; original:normal_personal_conversation; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c04; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c18; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c29; alternative:sms_alt_c30
SMS Spam,60,2026,8,12,0.9840,0.9632,0.9355,+0.0258,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:mentions_money_payment; original:mentions_financial_gain_or_cost; original:uses_deadline_or_expiry; original:requests_immediate_action; original:mentions_meeting_family_friends; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c03; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c34; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,61,2026,10,10,0.9830,0.9613,0.9323,+0.0239,original:uses_promotional_or_marketing_claim; original:mentions_free_offer; original:mentions_discount_or_rate; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:asks_user_reply_or_call; original:requests_immediate_action; original:refers_previous_conversation; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c11; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,62,2026,11,9,0.9800,0.9543,0.9200,+0.0170,original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_free_offer; original:creates_urgency; original:uses_deadline_or_expiry; original:contains_all_caps_or_exclamation_emphasis; original:asks_user_reply_or_call; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c02; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c11; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c30; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,63,2026,12,8,0.9870,0.9702,0.9478,+0.0329,original:claims_winner_or_selected; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_free_offer; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_user_reply_or_call; original:requests_personal_information; original:requests_immediate_action; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c03; alternative:sms_alt_c04; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c27; alternative:sms_alt_c30; alternative:sms_alt_c33
SMS Spam,64,2026,12,8,0.9760,0.9462,0.9062,+0.0089,original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:creates_urgency; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:requests_personal_information; original:requests_immediate_action; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c33; alternative:sms_alt_c35
SMS Spam,65,2026,10,10,0.9780,0.9510,0.9147,+0.0137,original:mentions_money_payment; original:mentions_free_offer; original:mentions_financial_gain_or_cost; original:creates_urgency; original:uses_deadline_or_expiry; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:requests_personal_information; original:mentions_meeting_family_friends; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c10; alternative:sms_alt_c12; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c33; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,66,2026,11,9,0.9730,0.9401,0.8958,+0.0028,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:mentions_money_payment; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:creates_urgency; original:threatens_loss_or_penalty; original:asks_click_link; original:asks_user_reply_or_call; original:normal_personal_conversation; original:uses_casual_emotional_language; alternative:sms_alt_c01; alternative:sms_alt_c04; alternative:sms_alt_c11; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c25; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c35
SMS Spam,67,2026,9,11,0.9690,0.9342,0.8864,-0.0031,original:claims_winner_or_selected; original:mentions_free_offer; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:requests_personal_information; original:normal_personal_conversation; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c12; alternative:sms_alt_c20; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,68,2026,9,11,0.9720,0.9397,0.8955,+0.0024,original:claims_winner_or_selected; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_free_offer; original:mentions_financial_gain_or_cost; original:creates_urgency; original:threatens_loss_or_penalty; original:normal_personal_conversation; original:mentions_meeting_family_friends; alternative:sms_alt_c01; alternative:sms_alt_c03; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c17; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c29; alternative:sms_alt_c36
